season,file_episode,title,duration_seconds,subtitle_available,path,filename,inspection_error
1,21,the Blue Mountains,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E21.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E21.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,22,The Pool,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E22.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E22.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,23,Shops,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E23.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E23.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,24,Wagon Ride,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E24.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E24.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,25,Taxi,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E25.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E25.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,26,The Beach,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E26.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E26.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,27,Pirates,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E27.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E27.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,28,Grannies,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E28.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E28.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,29,The Creek,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E29.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E29.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,30,Fairies,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E30.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E30.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,31,Work,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E31.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E31.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,32,,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E32.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E32.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,33,Trampoline,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E33.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E33.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,34,The Dump,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E34.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E34.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,35,Zoo,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E35.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E35.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,36,Backpackers,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E36.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E36.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,37,The Adventure,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E37.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E37.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,38,Copycat,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E38.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E38.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,39,The Sleepover,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E39.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E39.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,40,Early Baby,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E40.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E40.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,41,Mums and Dads,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E41.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E41.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,42,Hide and Seek,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E42.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E42.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,43,Camping,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E43.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E43.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,44,Mount Mumandad,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E44.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E44.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,45,Kids,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E45.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E45.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,46,Chickenrat,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E46.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E46.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,47,Neighbours,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E47.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E47.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,48,,420.04,False,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E48.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E48.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,ffmpeg exit 4294967274
1,49,Asparagus,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E49.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E49.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,50,Shaun,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E50.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E50.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,51,Daddy Putdown,428.04,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E51.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E51.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,52,Verandah Santa,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E52.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E52.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,1,Dance Mode,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E01.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E01.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,2,Hammerbarn,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E02.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E02.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,3,Feather-wand,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E03.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E03.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,4,Squash,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E04.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E04.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,5,Hairdressers,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E05.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E05.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,6,Stumpfest,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E06.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E06.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,7,Favorite Thing,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E07.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E07.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,8,Daddy Drop-Off,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E08.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E08.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,9,,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E09.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E09.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,10,Rug Island,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E10.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E10.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
